156	100899	116.0	130.0
168	100899	171.0	133.0
180	100899	215.0	135.0
192	100899	235.0	135.0
204	100899	222.0	138.0
216	100899	198.0	141.0
228	100899	205.0	143.0
240	100899	280.0	146.0
252	100899	332.0	147.0
264	100899	350.0	150.0
276	100899	341.0	151.0
288	100899	314.0	153.0
300	100899	290.0	155.0
312	100899	271.0	157.0
324	100899	254.0	160.0
336	100899	245.0	162.0
348	100899	240.0	165.0
360	100899	234.0	166.0
372	100899	231.0	168.0
384	100899	231.0	170.0
396	100899	231.0	173.0
408	100899	233.0	176.0
420	100899	235.0	179.0
432	100899	240.0	181.0
444	100899	251.0	189.0
456	100899	266.0	196.0
468	100899	287.0	203.0
480	100899	315.0	209.0
492	100899	353.0	220.0
504	100899	396.0	233.0
516	100899	449.0	249.0
528	100899	514.0	268.0
540	100899	616.0	300.0
552	100899	723.0	337.0
564	100899	874.0	395.0
576	100899	1007.0	493.0
156	100917	189.0	133.0
168	100917	243.0	136.0
180	100917	287.0	140.0
192	100917	308.0	140.0
204	100917	295.0	143.0
216	100917	275.0	147.0
228	100917	280.0	149.0
240	100917	356.0	154.0
252	100917	409.0	155.0
264	100917	429.0	158.0
276	100917	422.0	160.0
288	100917	397.0	164.0
300	100917	375.0	167.0
312	100917	362.0	171.0
324	100917	349.0	174.0
336	100917	346.0	178.0
348	100917	350.0	185.0
360	100917	356.0	189.0
372	100917	369.0	195.0
384	100917	387.0	204.0
396	100917	414.0	213.0
408	100917	450.0	224.0
420	100917	501.0	239.0
432	100917	562.0	258.0
444	100917	660.0	289.0
456	100917	799.0	327.0
468	100917	982.0	380.0
168	100946	222.0	125.0
180	100946	269.0	128.0
192	100946	288.0	129.0
204	100946	279.0	131.0
216	100946	256.0	133.0
228	100946	266.0	135.0
240	100946	342.0	139.0
252	100946	399.0	140.0
264	100946	420.0	140.0
276	100946	411.0	141.0
288	100946	387.0	142.0
300	100946	364.0	138.0
312	100946	348.0	141.0
324	100946	338.0	153.0
336	100946	326.0	156.0
348	100946	322.0	163.0
360	100946	317.0	164.0
372	100946	317.0	166.0
384	100946	321.0	169.0
396	100946	324.0	172.0
408	100946	330.0	176.0
420	100946	338.0	179.0
432	100946	348.0	183.0
444	100946	367.0	193.0
456	100946	393.0	199.0
468	100946	425.0	207.0
480	100946	465.0	216.0
492	100946	517.0	231.0
504	100946	583.0	245.0
516	100946	669.0	267.0
528	100946	780.0	295.0
540	100946	951.0	333.0
168	100978	263.0	112.0
180	100978	307.0	114.0
192	100978	327.0	116.0
204	100978	314.0	119.0
216	100978	292.0	122.0
228	100978	298.0	123.0
240	100978	374.0	127.0
252	100978	427.0	126.0
264	100978	446.0	128.0
276	100978	440.0	130.0
288	100978	414.0	131.0
300	100978	392.0	132.0
312	100978	377.0	135.0
324	100978	361.0	136.0
336	100978	356.0	139.0
348	100978	352.0	141.0
360	100978	349.0	142.0
372	100978	347.0	142.0
384	100978	347.0	144.0
396	100978	349.0	147.0
408	100978	352.0	149.0
420	100978	357.0	150.0
432	100978	361.0	151.0
444	100978	369.0	155.0
456	100978	373.0	141.0
468	100978	390.0	140.0
480	100978	422.0	153.0
492	100978	444.0	168.0
504	100978	472.0	171.0
516	100978	503.0	176.0
528	100978	540.0	182.0
540	100978	587.0	179.0
552	100978	618.0	163.0
564	100978	668.0	195.0
576	100978	692.0	202.0
588	100978	719.0	208.0
600	100978	747.0	217.0
612	100978	777.0	225.0
624	100978	808.0	236.0
636	100978	847.0	249.0
648	100978	891.0	266.0
660	100978	959.0	289.0
672	100978	986.0	314.0
168	100991	243.07692307692307	125.6923076923077
180	100991	243.26153846153846	124.95384615384616
192	100991	243.44615384615383	124.21538461538462
204	100991	243.63076923076923	123.47692307692307
216	100991	243.8153846153846	122.73846153846154
228	100991	244.0	122.0
240	100991	317.0	124.0
252	100991	371.0	125.0
264	100991	390.0	126.0
276	100991	382.0	127.0
288	100991	356.0	129.0
300	100991	333.0	130.0
312	100991	317.0	133.0
324	100991	299.0	134.0
336	100991	291.0	136.0
348	100991	287.0	140.0
360	100991	283.0	141.0
372	100991	279.0	141.0
384	100991	278.0	143.0
396	100991	276.0	145.0
408	100991	279.0	147.0
420	100991	278.0	148.0
432	100991	279.0	149.0
444	100991	284.0	155.0
456	100991	294.0	157.0
468	100991	305.0	158.0
480	100991	322.0	160.0
168	101014	265.0	128.0
180	101014	311.0	129.0
192	101014	334.0	129.0
204	101014	326.0	133.0
216	101014	307.0	136.0
228	101014	317.0	137.0
240	101014	395.0	141.0
252	101014	451.0	142.0
264	101014	473.0	145.0
276	101014	469.0	147.0
288	101014	446.0	150.0
300	101014	427.0	153.0
312	101014	415.0	156.0
324	101014	403.0	159.0
336	101014	401.0	163.0
348	101014	402.0	167.0
360	101014	404.0	170.0
372	101014	412.0	173.0
384	101014	425.0	178.0
396	101014	439.0	184.0
408	101014	458.0	189.0
204	101103	124.07142857142857	98.0
216	101103	124.92857142857143	98.0
228	101103	125.78571428571429	98.0
240	101103	126.75	97.85
252	101103	127.75	97.65
264	101103	128.75	97.45
276	101103	129.75	97.25
288	101103	130.75	97.05
300	101103	132.0	96.5
312	101103	127.0	95.0
324	101103	108.0	95.0
336	101103	100.0	96.0
348	101103	95.0	98.0
360	101103	90.0	96.0
372	101103	88.0	96.0
384	101103	86.0	96.0
396	101103	86.0	97.0
408	101103	88.0	97.0
420	101103	90.0	96.0
432	101103	91.0	95.0
444	101103	99.0	98.0
456	101103	109.0	99.0
468	101103	121.0	99.0
